urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:procedure,urn:ogc:def:parameter:x-istsos:1.0:river:water:height,urn:ogc:def:parameter:x-istsos:1.0:river:water:height:qualityIndex
2019-02-25T06:13:48+05:30,MASPOTHA_WL,0.27,100
2019-02-25T06:23:49+05:30,MASPOTHA_WL,0.28,100
2019-02-25T06:33:49+05:30,MASPOTHA_WL,0.27,100
2019-02-25T06:43:49+05:30,MASPOTHA_WL,0.27,100
2019-02-25T06:53:49+05:30,MASPOTHA_WL,0.27,100
2019-02-25T07:03:50+05:30,MASPOTHA_WL,0.27,100
2019-02-25T07:13:50+05:30,MASPOTHA_WL,0.27,100
2019-02-25T07:23:50+05:30,MASPOTHA_WL,0.27,100
2019-02-25T07:33:50+05:30,MASPOTHA_WL,0.27,100
2019-02-25T07:43:51+05:30,MASPOTHA_WL,0.27,100
2019-02-25T07:53:51+05:30,MASPOTHA_WL,0.26,100
2019-02-25T08:03:51+05:30,MASPOTHA_WL,0.26,100
2019-02-25T08:13:52+05:30,MASPOTHA_WL,0.22,100
2019-02-25T08:23:52+05:30,MASPOTHA_WL,0.17,100
2019-02-25T08:33:52+05:30,MASPOTHA_WL,0.17,100
2019-02-25T08:43:53+05:30,MASPOTHA_WL,0.13,100
2019-02-25T08:53:53+05:30,MASPOTHA_WL,0.14,100
2019-02-25T09:03:53+05:30,MASPOTHA_WL,0.13,100
2019-02-25T09:13:54+05:30,MASPOTHA_WL,0.12,100
2019-02-25T09:23:54+05:30,MASPOTHA_WL,0.12,100
2019-02-25T09:33:54+05:30,MASPOTHA_WL,0.13,100
2019-02-25T09:43:55+05:30,MASPOTHA_WL,0.12,100
2019-02-25T09:53:55+05:30,MASPOTHA_WL,0.11,100
2019-02-25T10:03:56+05:30,MASPOTHA_WL,0.11,100
2019-02-25T10:13:56+05:30,MASPOTHA_WL,0.1,100
2019-02-25T10:23:56+05:30,MASPOTHA_WL,0.11,100
2019-02-25T10:33:56+05:30,MASPOTHA_WL,0.11,100
2019-02-25T10:43:57+05:30,MASPOTHA_WL,0.11,100
2019-02-25T10:53:57+05:30,MASPOTHA_WL,0.11,100
2019-02-25T11:03:58+05:30,MASPOTHA_WL,0.12,100
2019-02-25T11:13:58+05:30,MASPOTHA_WL,0.13,100
2019-02-25T11:23:59+05:30,MASPOTHA_WL,0.12,100
2019-02-25T11:33:59+05:30,MASPOTHA_WL,0.11,100
2019-02-25T11:44:00+05:30,MASPOTHA_WL,0.12,100
2019-02-25T11:54:00+05:30,MASPOTHA_WL,0.11,100
2019-02-25T12:04:00+05:30,MASPOTHA_WL,0.13,100
2019-02-25T12:14:00+05:30,MASPOTHA_WL,0.13,100
2019-02-25T12:24:01+05:30,MASPOTHA_WL,0.13,100
2019-02-25T12:34:01+05:30,MASPOTHA_WL,0.13,100
2019-02-25T12:44:02+05:30,MASPOTHA_WL,0.13,100
2019-02-25T12:54:02+05:30,MASPOTHA_WL,0.13,100
